Node,Parent,ID,Node Type
Moorebank Governance Review,223B,126,Cost Center
NBN Review,182B,127,Cost Center
Campaign Finance Commission,195B,172,Cost Center
Volume Sourcing Administration,157B,174,Cost Center
Volume Sourcing Operating,157B,175,Cost Center
Office Machines - Tender,195B,179,Cost Center
Desktop Computers,157B,180,Cost Center
Government Cloud Panel,208B,181,Cost Center
Travel Phase 1 - Tender,195B,183,Cost Center
Travel and Related Services Phase 2,195B,184,Cost Center
Telecommunications,157B,186,Cost Center
Data Centres Admin,157B,188,Cost Center
IBNCS Operating Account,157B,189,Cost Center
IBNCS Savings,157B,190,Cost Center
Whole of Government Reporting,195B,192,Cost Center
Strategic Sourcing,208B,193,Cost Center
Property Services,137B,238,Cost Center
Business Assurance Coordination,175B,255,Cost Center
State Office - QLD,177B,261,Cost Center
State Office - SA,177B,262,Cost Center
State Office - TAS,177B,263,Cost Center
State Office - VIC,177B,264,Cost Center
State Office - WA,177B,265,Cost Center
ARTC Market Testing,223B,431,Cost Center
Medibank Sale Taskforce (Dept),239B,444,Cost Center
Canberra Office Accom Proj,216B,445,Cost Center
Stationery & Office Supplies Re-tender,195B,446,Cost Center
Telecommunications Services Panel,157B,471,Cost Center
Commercial Advice Unit,229B,485,Cost Center
Parliamentary Expenses Taskforce (M&PS),179B,486,Cost Center
ICON Scoping Study,122B,493,Cost Center
Advertising - Tender,195B,516,Cost Center
Australian Naval Infrastructure,150B,520,Cost Center
Australian Submarine Corp,150B,521,Cost Center
Cloud Project,195B,523,Cost Center
Medibank Scoping Study,248B,536,Cost Center
WoG ERP Sys Panel,195B,559,Cost Center
Central Employee Costs,188B,356,Cost Center
Parl Super Act 2004 Other Departments,144B,410,Cost Center
Learning & Development,188B,243,Cost Center
MF-SMOS-Cormann,185B,225,Cost Center
Department Social Club,131B,221,Cost Center
Political Exchange Council,169B,277,Cost Center
Finance Controlled Accounts,118B,343,Cost Center
Electorate & Ministerial Support,169B,273,Cost Center
Constitution - Section 66 - Salaries,169B,286,Cost Center
PBR Act - The Senate,169B,539,Cost Center
PBR Act – House of Representatives,169B,542,Cost Center
Parl Entitlements Act 1990,169B,280,Cost Center
Parl Business Resources Act 2017,169B,538,Cost Center
Admin Ann Appropriat'n Former PM,169B,275,Cost Center
PBR Act - former PM,169B,545,Cost Center
Online Services,42D,183B,Branch
CGS Executive,26D,120B,Branch
Comm & Claims Exec,30D,122B,Branch
Risk and Claims,54D,238B,Branch
Govmt Bus Oversight,30D,151B,Branch
AWD Reform,30D,107B,Branch
ASC Reform,30D,102B,Branch
Procurement & Insurance Executive,54D,209B,Branch
Procurement Policy,54D,196B,Branch
Communications Adv,39D,123B,Branch
PCD Executive,24D,186B,Branch
Property Capital Works & Asset Mgmt,24D,191B,Branch
Client Relationship Management,24D,200B,Branch
Property Divest,24D,197B,Branch
Property Efficiency,24D,198B,Branch
Property Leg & Adv,24D,199B,Branch
Risk and Claims,23D,162B,Branch
Procurement Management,25D,195B,Branch
Secretariat,25D,232B,Branch
GovDesk - GovMail,25D,230B,Branch
BFR Executive,18D,110B,Branch
Budget Coordination,19D,113B,Branch
Budget Analysis,19D,112B,Branch
Central A AA,38D,116B,Branch
Defence,38D,129B,Branch
Defence Cap Assmt,38D,128B,Branch
Govmt & Defence,38D,149B,Branch
Foreign Affairs,38D,158B,Branch
EEWR,41D,133B,Branch
Environment & Energy,41D,138B,Branch
Indu Ed & Infra,41D,160B,Branch
Infra & Comm,41D,161B,Branch
FHCS & IA,52D,140B,Branch
Health,52D,154B,Branch
Human Services,52D,155B,Branch
Social Policy Exec,52D,205B,Branch
Long Term Budget,19D,168B,Branch
Finance Executive,31D,141B,Branch
Corporate - Exec,31D,125B,Branch
Corporate Engagement,31D,126B,Branch
Parl & Coordination,31D,185B,Branch
Human Resources,31D,187B,Branch
ICT Executive,42D,166B,Branch
Facilities Management Branch,31D,165B,Branch
Technical Services,42D,164B,Branch
BES Executive,17D,109B,Branch
Transformation,35D,210B,Branch
CSD Central Costs,22D,137B,Branch
MPS Executive,43D,179B,Branch
"MPS Policy, People, and Programs",43D,178B,Branch
MPS Advice and Support,43D,177B,Branch
Legal Services,31D,167B,Branch
COMCAR,43D,253B,Branch
COMCAR Admin,28D,121B,Branch
CFO,31D,117B,Branch
Unallocated Budgets,55D,211B,Branch
People Central Costs,22D,188B,Branch
GNSB,42D,146B,Branch
MCN - Ministered,53D,170B,Branch
"Public Governance, Performance & Accountability (PGPA)",40D,193B,Branch
Resource Management,39D,201B,Branch
Rpt & Resource,34D,203B,Branch
Strat & Intl Policy,39D,207B,Branch
Efficiency Improvement,33D,252B,Branch
Govmt Bus Transf,33D,152B,Branch
G&T Executive,37D,145B,Branch
FaRM Exec,34D,139B,Branch
Budget Est & Accting,34D,111B,Branch
Financial Management,34D,142B,Branch
CBMSR,42D,115B,Branch
Gov & Public Mgmt,39D,147B,Branch
Eff & Assurance Exec,33D,134B,Branch
Public Sector Reform,33D,135B,Branch
SDO Executive,59D,221B,Branch
Tran Operations Exec,59D,235B,Branch
Commercial Services,59D,236B,Branch
Gov Link,25D,231B,Branch
Office of CIO,42D,246B,Branch
Inland Rail Implementation,30D,243B,Branch
Western Sydney Airport,30D,244B,Branch
Snowy Hydro,30D,245B,Branch
Modernisation Fund,59D,247B,Branch
CBMS Operations,42D,250B,Branch
ICT Procurement (Annual),54D,222B,Branch
Nat Disaster Relief,30D,202B,Branch
NBN,30D,181B,Branch
Moorebank Prj Office,30D,173B,Branch
MUR Project,30D,180B,Branch
Defence Housing,30D,130B,Branch
Aust Hear SS,30D,106B,Branch
ASIC Project,30D,103B,Branch
ARTC Scoping Study,30D,101B,Branch
ARTC Scoping Study/Moorebank,30D,223B,Branch
NBN Review,30D,182B,Branch
ICT Procurement (SAO),25D,157B,Branch
Strategic Sourcing,25D,208B,Branch
MPS Bus Assrnc,43D,175B,Branch
Medibank Sale T/F,30D,239B,Branch
COA Progression,30D,216B,Branch
Commercial Advice,30D,229B,Branch
Govmt Bus Advice,29D,150B,Branch
Medibank Scoping Study,30D,248B,Branch
G&T Admin,36D,144B,Branch
Dept Social Club,31D,131B,Branch
M&PS Admin,44D,169B,Branch
CFOB Central Costs,22D,118B,Branch
ICT Division,S1,42D,Division
CGS Executive,S2,26D,Division
Commercial Division,S2,30D,Division
Procurement and Insurance Division,S2,54D,Division
Gov and Public Mgt,S3,39D,Division
CGS - Property SA,S4,24D,Division
CGS - Comcover SA,S5,23D,Division
CGS Coord Pro Sp Acc,S6,25D,Division
BFR Executive,S7,18D,Division
Budget Policy Coord,S7,19D,Division
Government and Defence,S7,38D,Division
Industry Edu Infrast,S7,41D,Division
Social Policy,S7,52D,Division
Corporate Services,S1,31D,Division
BES Executive,S1,17D,Division
Finance Transform,S1,35D,Division
Central Costs,S1,22D,Division
MaPS,S1,43D,Division
COMCAR Admin,S1,28D,Division
Unallocated Budgets,S1,55D,Division
ICT Administered,S1,53D,Division
Public Governance Performance & Accountability,S3,40D,Division
FaRM,S3,34D,Division
Public Sector Transformation,S3,33D,Division
G and T Executive,S3,37D,Division
Srvce Delivery (SDO),S1,59D,Division
Comm and Claims Admin,S2,29D,Division
Financial Mgmt Admin,S3,36D,Division
M&PS Admin,S1,44D,Division
Bus Enab Serv (BES),,S1,Secretary
Comm Govt Serv (CGS),,S2,Secretary
Govern & Trans (G&T),,S3,Secretary
Property Special Acc,,S4,Secretary
Comcover Special Acc,,S5,Secretary
Coord Proc Spec Acct,,S6,Secretary
Budget Fin Rep (BFR),,S7,Secretary
